SIREN,NIC,L1_NORMALISEE,L2_NORMALISEE,L3_NORMALISEE,L4_NORMALISEE,L5_NORMALISEE,L6_NORMALISEE,L7_NORMALISEE,L1_DECLAREE,L2_DECLAREE,L3_DECLAREE,L4_DECLAREE,L5_DECLAREE,L6_DECLAREE,L7_DECLAREE,NUMVOIE,INDREP,TYPVOIE,LIBVOIE,CODPOS,CEDEX,DEPET,COMET,TCD,SIEGE,ENSEIGNE,IND_PUBLIPO,DIFFCOM,AMINTRET,NATETAB,APET700,DAPET,TEFET,EFETCENT,DEFET,ORIGINE,DCRET,DDEBACT,ACTIVNAT,LIEUACT,ACTISURF,SAISONAT,MODET,PRODET,PRODPART,AUXILT,NOMEN_LONG,SIGLE,NOM,PRENOM,CIVILITE,RNA,NICSIEGE,RPEN,DEPCOMEN,ADR_MAIL,NJ,APEN700,DAPEN,APRM,ESS,DATEESS,TEFEN,EFENCENT,DEFEN,CATEGORIE,DCREN,AMINTREN,MONOACT,MODEN,PRODEN,ESAANN,TCA,ESAAPEN,ESASEC1N,ESASEC2N,ESASEC3N,ESASEC4N,VMAJ,VMAJ1,VMAJ2,VMAJ3,DATEMAJ,longitude,latitude,geo_score,geo_type,geo_adresse,geo_id,geo_ligne
009733841,00010,COPRO IM GALLIC,,,2 BOULEVARD FEART,,35800 DINARD,FRANCE,COPRO IM GALLIC,,,2 BD FEART,,35800 DINARD,,2,,BD,FEART,35800,,35,093,22,1,,0,O,201209,,8110Z,2008,01,1,2016,1,19941225,19941225,NR,99,,P,S,N,,0,COPRO IM GALLIC,,,,,,00010,53,35093,,9110,8110Z,2008,,,,01,1,2016,PME,19941225,201209,1,S,N,,,,,,,,,,,,2007-06-07T00:00:00,-2.054859,48.634001,0.75,housenumber,2 Boulevard Feart 35800 Dinard,ADRNIVX_0000000261879885,G
009733932,00017,ASS COPROPRIETE IMM DE LA RONCERAY,,,AVENUE DE LA VICOMTE,,35800 DINARD,FRANCE,ASS. COPROPRIETE IMM. DE LA RONCERAY,,,AV DE LA VICOMTE,,35800 DINARD,,,,AV,DE LA VICOMTE,35800,,35,093,22,1,,0,O,201209,,8110Z,2008,00,0,2015,1,19941225,19941225,NR,99,,P,S,N,,0,ASS. COPROPRIETE IMM. DE LA RONCERAY,,,,,,00017,53,35093,,9110,8110Z,2008,,,,00,0,2015,PME,19941225,201209,1,S,N,,,,,,,,,,,,2008-11-13T00:00:00,-2.046551,48.623254,0.82,street,Avenue de la Vicomte 35800 Dinard,35093_XXXX_701bd6,G
009733981,00014,ASS COPROPRIETE,,,2 RUE DE BEAULIEU,,35600 REDON,FRANCE,ASS. COPROPRIETE,,,2 RUE DE BEAULIEU,,35600 REDON,,2,,RUE,DE BEAULIEU,35600,,35,236,22,1,,0,O,201209,,8110Z,2008,01,1,2010,1,19941225,19941225,NR,99,,P,S,N,,0,ASS. COPROPRIETE,,,,,,00014,53,35236,,9110,8110Z,2008,,,,01,1,2010,PME,19941225,201209,1,S,N,,,,,,,,,,,,2010-10-22T00:00:00,-2.072255,47.664008,0.92,housenumber,2 Rue de Beaulieu 35600 Redon,ADRNIVX_0000000358055196,G
009734005,00011,COPRO IM SAULES,,,RUE DES SAULES,,35800 DINARD,FRANCE,COPRO IM SAULES,,,RUE DES SAULES,,35800 DINARD,,,,RUE,DES SAULES,35800,,35,093,22,1,,0,O,201209,,8110Z,2008,01,1,2016,1,19941225,19941225,NR,99,,P,S,N,,0,COPRO IM SAULES,,,,,,00011,53,35093,,9110,8110Z,2008,,,,01,1,2016,PME,19941225,201209,1,S,N,,,,,,,,,,,,2007-07-02T00:00:00,-2.057816,48.633296,0.92,street,Rue des Saules 35800 Dinard,35093_1780_bbed53,G
009734013,00015,ASS COPROPRIETE,IMM BELLEVUE,,AVENUE GEORGE V,,35800 DINARD,FRANCE,ASS. COPROPRIETE,IMM. BELLEVUE,,AV GEORGE V,,35800 DINARD,,,,AV,GEORGE V,35800,,35,093,22,1,,0,O,201209,,8110Z,2008,01,NN,1994,1,19941225,19941225,NR,99,,P,S,N,,0,ASS. COPROPRIETE,,,,,,00015,53,35093,,9110,8110Z,2008,,,,01,NN,1994,,19941225,201209,1,S,N,,,,,,,,,,,,1995-12-15T00:00:00,-2.051362,48.632798,0.77,street,Avenue George V 35800 Dinard,35093_XXXX_36609e,G
009734237,00010,COPRO IM AV FRANC LIBRES,,,20 AVENUE DES FRANCAIS LIBRES,,35000 RENNES,FRANCE,COPRO IM AV FRANC LIBRES,,,20 AV DES FRANCAIS LIBRES,,35000 RENNES,,20,,AV,DES FRANCAIS LIBRES,35000,,35,238,71,1,,0,O,201209,,8110Z,2008,01,1,2016,1,19941225,19941225,NR,99,,P,S,N,,0,COPRO IM AV FRANC LIBRES,,,,,,00010,53,35238,,9110,8110Z,2008,,,,01,1,2016,PME,19941225,201209,1,S,N,,,,,,,,,,,,2003-10-20T00:00:00,-1.668021,48.105359,0.87,housenumber,20 Avenue des Français Libres 35000 Rennes,ADRNIVX_0000000262189689,G
009734377,00014,COPRO IM R FOUGERES,,,81 RUE DE FOUGERES,,35700 RENNES,FRANCE,COPRO IM R FOUGERES,,,81 RUE DE FOUGERES,,35700 RENNES,,81,,RUE,DE FOUGERES,35700,,35,238,71,1,,0,O,201209,,8110Z,2008,00,0,2010,1,19941225,19941225,NR,99,,P,S,N,,0,COPRO IM R FOUGERES,,,,,,00014,53,35238,,9110,8110Z,2008,,,,00,0,2010,PME,19941225,201209,1,S,N,,,,,,,,,,,,2011-01-24T00:00:00,-1.657255,48.124726,0.82,street,Rue de Fougères 35700 Rennes,35238_3160_d52bf0,G
009734385,00017,COPRO IM CORNES DE CERF,CORNE DE CERF,,1 BOULEVARD DES ROCHERS,,35500 VITRE,FRANCE,COPRO IM CORNES DE CERF,,CORNE DE CERF,1 BD DES ROCHERS,,35500 VITRE,,1,,BD,DES ROCHERS,35500,,35,360,32,1,,0,O,201209,,8110Z,2008,00,0,2009,1,19941225,19941225,NR,99,,P,S,N,,0,COPRO IM CORNES DE CERF,,,,,,00017,53,35360,,9110,8110Z,2008,,,,00,0,2009,PME,19941225,201209,1,S,N,,,,,,,,,,,,2012-03-01T00:00:00,-1.205884,48.122613,0.81,housenumber,1 Boulevard des Rochers 35500 Vitré,ADRNIVX_0000000324849506,G
009734849,00012,COPRO IM CONCORDE,,,12 PLACE DU MARCHE AUX LEGUMES,,35400 ST MALO,FRANCE,COPRO IM CONCORDE,,,12 PL DU MARCHE AUX LEGUMES,,35400 SAINT MALO,,12,,PL,DU MARCHE AUX LEGUMES,35400,,35,288,44,1,,0,O,201209,,8110Z,2008,01,1,2016,1,19941225,19941225,NR,99,,P,S,N,,0,COPRO IM CONCORDE,,,,,,00012,53,35288,,9110,8110Z,2008,,,,01,1,2016,PME,19941225,201209,1,S,N,,,,,,,,,,,,2016-08-11T00:00:00,-2.025812,48.648124,0.86,housenumber,12 Place du Marche aux Légumes 35400 Saint-Malo,ADRNIVX_0000000261869741,G
009735127,00012,COPRO IM PROMENADES,LES PROMENADES,,1 BOULEVARD DES ROCHERS,,35500 VITRE,FRANCE,COPRO IM PROMENADES,,LES PROMENADES,1 BD DES ROCHERS,,35500 VITRE,,1,,BD,DES ROCHERS,35500,,35,360,32,1,,0,O,201209,,8110Z,2008,01,1,2016,1,19941225,19941225,NR,99,,P,S,N,,0,COPRO IM PROMENADES,,,,,,00012,53,35360,,9110,8110Z,2008,,,,01,1,2016,PME,19941225,201209,1,S,N,,,,,,,,,,,,1995-11-24T00:00:00,-1.205884,48.122613,0.81,housenumber,1 Boulevard des Rochers 35500 Vitré,ADRNIVX_0000000324849506,G
